player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100720,0.731,-0.384,0.596,2023,2024,RS,3
100940,1.051,1.396,2.013,5371,2024,RS,3
201480,0.081,-1.044,-0.075,1236,2024,RS,3
201496,1.152,1.314,1.303,2498,2024,RS,3
201516,2.223,0.801,2.241,1668,2024,RS,3
201886,1.158,0.381,1.118,5592,2024,RS,3
201896,-1.153,-0.604,-1.393,1268,2024,RS,3
201911,-0.548,-0.963,-1.476,663,2024,RS,3
201913,-1.208,-0.045,-0.63,890,2024,RS,3
202250,1.336,1.917,2.876,3579,2024,RS,3
202252,-0.488,2.015,0.66,5337,2024,RS,3
202259,-1.262,-0.75,-1.733,897,2024,RS,3
202633,-1.91,-0.782,-2.162,722,2024,RS,3
202641,-0.909,0.145,-2.059,1179,2024,RS,3
202650,-1.862,-0.748,-2.24,654,2024,RS,3
202658,0.159,-0.032,0.414,1907,2024,RS,3
202662,0.964,2.548,2.813,673,2024,RS,3
202664,1.817,1.87,2.05,4222,2024,RS,3
203014,1.803,0.699,2.23,4535,2024,RS,3
203024,0.824,0.524,1.524,932,2024,RS,3
203026,0.11,-0.169,0.218,4522,2024,RS,3
203029,-1.494,-0.932,-2.349,822,2024,RS,3
203035,-0.323,-0.606,-0.303,2214,2024,RS,3
203389,0.045,0.101,0.195,505,2024,RS,3
203398,2.719,1.31,3.155,3424,2024,RS,3
203399,3.13,2.395,4.204,2589,2024,RS,3
203400,1.344,1.847,1.747,3685,2024,RS,3
203403,-0.454,-0.628,-0.651,2453,2024,RS,3
203406,-0.346,-0.699,-0.254,1661,2024,RS,3
203416,3.014,0.862,3.178,1761,2024,RS,3
203822,0.022,1.766,1.114,1405,2024,RS,3
203823,0.978,-0.157,0.848,427,2024,RS,3
203824,-1.491,-1.833,-1.892,2480,2024,RS,3
203825,3.648,-0.391,3.002,6248,2024,RS,3
203826,1.168,2.605,1.963,6608,2024,RS,3
203827,1.21,-0.999,0.793,4085,2024,RS,3
203828,-2.747,0.295,-1.266,3742,2024,RS,3
203831,0.08,0.325,0.173,787,2024,RS,3
203833,1.961,2.262,2.443,5790,2024,RS,3
203849,-0.475,-0.442,-0.813,862,2024,RS,3
203855,0.453,-0.454,0.124,2600,2024,RS,3
203866,-0.76,1.113,-0.008,4622,2024,RS,3
204296,3.113,0.616,2.914,3080,2024,RS,3
204319,-0.951,-0.018,0.07,7635,2024,RS,3
204320,0.22,1.412,0.822,598,2024,RS,3
204322,-1.742,3.166,-0.341,2683,2024,RS,3
204323,0.028,1.021,0.795,2894,2024,RS,3
204324,-1.468,-0.645,-0.373,5980,2024,RS,3
204329,-0.188,1.192,0.4,3827,2024,RS,3
204330,-0.409,-0.604,-0.595,2622,2024,RS,3
204333,0.523,-0.378,0.158,7209,2024,RS,3
204334,0.206,-2.253,-1.944,354,2024,RS,3
204335,3.602,-0.383,2.323,2950,2024,RS,3
204365,-1.077,-1.721,-1.674,4230,2024,RS,3
1627643,-0.509,-0.967,-1.352,395,2024,RS,3
1627668,3.631,2.149,3.326,7040,2024,RS,3
1627669,-2.328,-1.625,-2.059,3947,2024,RS,3
1627671,-0.519,0.522,-0.071,2879,2024,RS,3
1627672,0.023,-0.983,-1.33,2745,2024,RS,3
1627673,3.943,-1.061,1.605,3660,2024,RS,3
1627674,-0.314,-1.223,-0.514,5641,2024,RS,3
1627675,-0.299,1.414,1.396,4092,2024,RS,3
1627676,-0.787,-0.892,-0.869,2278,2024,RS,3
1627700,-0.512,0.083,-0.743,885,2024,RS,3
1627701,0.362,0.399,1.314,907,2024,RS,3
1628242,-1.505,-1.349,-1.934,1240,2024,RS,3
1628244,-0.258,-0.039,-0.597,3730,2024,RS,3
1628263,1.211,-1.467,0.341,3012,2024,RS,3
1628269,-3.076,-0.051,-1.983,2816,2024,RS,3
1628276,5.503,0.64,4.494,7823,2024,RS,3
1628277,2.353,0.984,2.53,6507,2024,RS,3
1628278,0.281,2.478,1.406,5967,2024,RS,3
1628279,-0.922,1.689,0.713,4160,2024,RS,3
1628280,1.49,2.712,3.444,3009,2024,RS,3
1628287,0.315,0.303,0.684,706,2024,RS,3
1628317,0.629,-0.439,0.473,2617,2024,RS,3
1628508,-1.334,0.383,-0.853,1202,2024,RS,3
1628878,1.686,-0.964,0.891,5666,2024,RS,3
1628881,-0.291,-0.301,-0.525,3762,2024,RS,3
1628882,0.945,0.287,0.851,2206,2024,RS,3
1628886,-1.674,-0.361,-1.766,3810,2024,RS,3
1628890,-1.285,-1.081,-1.896,2049,2024,RS,3
1628899,0.326,-2.479,-1.063,4712,2024,RS,3
1628909,1.251,-2.027,0.039,6214,2024,RS,3
1628915,-0.695,-2.785,-1.32,3408,2024,RS,3
1628920,-2.661,0.734,-1.288,2932,2024,RS,3
1628922,-0.5,0.928,0.041,3787,2024,RS,3
1628927,-2.149,-0.4,-1.321,3485,2024,RS,3
1628929,-0.873,-0.267,-0.669,3395,2024,RS,3
1628931,-0.077,-1.57,-1.011,3348,2024,RS,3
1628932,3.81,2.93,3.015,8095,2024,RS,3
