player_id,orapm,drapm,net_rapm,possessions,season,season_type
201886,-1.386,2.491,0.678,2561,2025,RS
202250,1.589,-6.474,-1.958,3751,2025,RS
202252,-3.811,0.647,-1.997,2894,2025,RS
202641,-2.294,1.44,-1.313,1153,2025,RS
202664,-1.106,-1.116,-2.314,555,2025,RS
203014,-1.523,2.489,0.643,4271,2025,RS
203024,-1.056,-0.804,-1.436,1378,2025,RS
203026,0.78,0.477,0.632,2111,2025,RS
203035,0.614,-0.702,1.462,853,2025,RS
203398,-0.547,0.981,0.554,2321,2025,RS
203400,5.083,0.424,4.401,4281,2025,RS
203416,0.616,1.343,0.704,1424,2025,RS
203822,-0.002,1.318,0.306,2051,2025,RS
203824,-1.197,-0.788,-1.019,1820,2025,RS
203825,-0.005,1.36,1.565,3530,2025,RS
203826,1.095,0.528,1.347,3523,2025,RS
203827,1.013,0.351,-0.002,3328,2025,RS
203828,-2.472,0.4,-1.166,2147,2025,RS
203829,1.724,-6.036,-2.223,2655,2025,RS
203833,2.01,-0.689,0.465,4486,2025,RS
203855,-2.437,1.481,-1.219,1861,2025,RS
203863,2.617,-7.486,-3.093,1234,2025,RS
203866,0.133,0.129,0.416,2298,2025,RS
204296,-3.538,-0.786,-2.774,2733,2025,RS
204319,0.548,0.433,0.965,4305,2025,RS
204322,-2.559,1.935,-0.422,2809,2025,RS
204324,3.404,-0.934,1.802,4106,2025,RS
204329,-3.498,0.523,-2.761,1565,2025,RS
204330,0.126,0.894,-0.028,1398,2025,RS
204333,-0.197,1.169,1.242,4073,2025,RS
204365,3.494,-1.238,1.029,3979,2025,RS
1627668,0.845,2.269,2.055,3240,2025,RS
1627671,-1.3,-2.954,-1.986,3437,2025,RS
1627672,0.328,2.2,2.15,450,2025,RS
1627673,0.307,1.441,0.929,2775,2025,RS
1627674,0.515,0.061,0.297,1961,2025,RS
1627675,0.2,1.28,0.451,4179,2025,RS
1627676,-2.491,2.039,-0.384,1859,2025,RS
1627700,1.057,-0.437,0.618,3208,2025,RS
1627701,-1.429,1.567,-0.085,2850,2025,RS
1628242,-0.158,1.252,0.811,766,2025,RS
1628244,0.211,0.182,0.511,3546,2025,RS
1628263,-1.306,-1.597,-1.275,1114,2025,RS
1628269,1.704,2.368,2.531,1805,2025,RS
1628276,0.433,-0.851,0.661,5159,2025,RS
1628277,2.326,0.024,1.849,4018,2025,RS
1628278,-0.735,-0.345,-1.227,1244,2025,RS
1628279,0.952,0.373,1.096,3722,2025,RS
1628280,2.459,1.817,2.734,3299,2025,RS
1628317,0.691,0.064,0.086,812,2025,RS
1628508,0.5,0.504,0.061,1516,2025,RS
1628878,1.001,1.508,1.486,2957,2025,RS
1628881,-1.066,1.639,-0.109,1623,2025,RS
1628882,-1.655,0.195,-0.957,757,2025,RS
1628886,1.318,0.719,0.435,2277,2025,RS
1628899,-1.306,0.565,-0.083,2712,2025,RS
1628909,2.543,0.538,2.69,4412,2025,RS
1628915,-0.641,-2.433,-1.323,3584,2025,RS
1628920,-1.853,-0.005,-1.625,840,2025,RS
1628922,0.453,-4.277,-3.009,4141,2025,RS
1628926,0.963,1.133,0.076,1515,2025,RS
1628931,0.063,0.878,-0.588,4105,2025,RS
1628932,4.089,2.532,3.305,4011,2025,RS
1628957,-1.252,1.895,0.162,2664,2025,RS
1629477,0.506,1.22,0.77,3767,2025,RS
1629479,0.241,-0.224,-0.487,783,2025,RS
1629480,-0.274,0.163,-0.138,1101,2025,RS
1629481,-1.709,-1.124,-1.79,2971,2025,RS
1629482,-0.203,-1.225,-1.173,2372,2025,RS
1629483,4.835,2.89,4.116,3305,2025,RS
1629484,-0.335,-1.047,-0.52,809,2025,RS
1629488,-0.24,0.502,0.51,724,2025,RS
1629490,-0.358,-0.969,-0.632,2075,2025,RS
1629491,0.103,1.479,1.375,2730,2025,RS
1629496,2.413,-0.231,1.33,3622,2025,RS
1629497,-4.091,2.275,0.123,3099,2025,RS
