player_id,player_name,team_id,team_abbr,games,minutes_per_game,minutes,season,season_type
201502,Essence Carson,1611661320,LAS,34,785.735,26714.99,2018,Regular Season
1628931,Gabby Williams,1611661329,CHI,34,780.8433333333334,26548.673333333336,2018,Regular Season
203017,Glory Johnson,1611661321,DAL,29,652.4816666666667,18921.968333333334,2018,Regular Season
1628868,Hind Ben Abdelkader,1611661325,IND,14,142.17333333333335,1990.4266666666667,2018,Regular Season
1627677,Imani McGee-Stafford,1611661330,ATL,29,305.39666666666665,8856.503333333332,2018,Regular Season
1628933,Imani Wright,1611661317,PHO,1,0.9916666666666667,0.9916666666666667,2018,Regular Season
1628913,Jaime Nared,1611661319,LVA,31,283.2633333333333,8781.163333333334,2018,Regular Season
203857,Jamierra Faulkner,1611661329,CHI,17,360.13,6122.21,2018,Regular Season
202650,Jantel Lavender,1611661320,LAS,30,510.74666666666667,15322.4,2018,Regular Season
202662,Jasmine Thomas,1611661323,CON,34,955.5533333333333,32488.81333333333,2018,Regular Season
1627681,Jazmon Gwathmey,1611661325,IND,10,115.66333333333333,1156.6333333333332,2018,Regular Season
202638,Jessica Breland,1611661330,ATL,34,898.8983333333333,30562.54333333333,2018,Regular Season
204319,Jewell Loyd,1611661328,SEA,34,1010.3566666666667,34352.12666666667,2018,Regular Season
1628917,JiSu Park,1611661319,LVA,32,416.59833333333336,13331.146666666667,2018,Regular Season
1627673,Jonquel Jones,1611661323,CON,34,696.8566666666667,23693.126666666667,2018,Regular Season
1628886,Jordin Canada,1611661328,SEA,33,542.9516666666667,17917.405000000002,2018,Regular Season
1628273,Kaela Davis,1611661321,DAL,27,452.59833333333336,12220.155,2018,Regular Season
1627674,Kahleah Copper,1611661329,CHI,33,523.8716666666667,17287.765,2018,Regular Season
204321,Kaleena Mosqueda-Lewis,1611661328,SEA,33,441.755,14577.914999999999,2018,Regular Season
202640,Karima Christmas-Kelly,1611661321,DAL,6,166.79666666666665,1000.78,2018,Regular Season
1628317,Karlie Samuelson,1611661320,LAS,20,83.66166666666666,1673.2333333333331,2018,Regular Season
