player_id,orapm,drapm,net_rapm,possessions,season,season_type
100720,0.968,-1.177,0.017,2537,2021,RS
100940,0.411,-0.472,-0.059,1426,2021,RS
200676,-1.129,-0.669,-1.27,1356,2021,RS
201480,2.392,2.548,2.883,2736,2021,RS
201496,2.165,0.121,1.924,2063,2021,RS
201507,-1.757,0.324,-0.783,1941,2021,RS
201516,2.997,-1.358,1.827,1955,2021,RS
201886,1.332,1.93,1.85,3142,2021,RS
201896,1.323,1.271,1.557,2548,2021,RS
201911,-0.354,-0.535,-1.0,1749,2021,RS
201913,-1.354,-1.586,-2.301,1658,2021,RS
201919,0.446,0.485,0.714,1568,2021,RS
202250,2.337,-1.403,1.536,2694,2021,RS
202259,-0.699,-0.727,-2.191,1222,2021,RS
202633,0.085,2.368,1.095,1947,2021,RS
202638,-2.641,-1.419,-4.453,1663,2021,RS
202650,-1.959,-1.62,-1.63,1879,2021,RS
202658,-1.421,-0.447,-1.863,1829,2021,RS
202662,-0.716,1.172,-0.18,2379,2021,RS
202664,0.299,1.854,1.324,2839,2021,RS
203014,1.345,0.897,1.902,1458,2021,RS
203015,-1.883,0.439,-1.272,656,2021,RS
203024,-0.877,-1.521,-1.654,1775,2021,RS
203026,1.447,-0.089,0.547,1776,2021,RS
203029,0.497,0.317,0.507,2938,2021,RS
203035,0.328,0.678,0.605,2251,2021,RS
203398,2.401,1.369,3.131,2604,2021,RS
203400,2.185,0.972,2.148,2804,2021,RS
203403,-0.005,-1.657,-1.33,1448,2021,RS
203406,1.063,-0.51,1.069,1591,2021,RS
203823,-0.658,1.05,0.047,477,2021,RS
203824,-1.531,-0.154,-1.053,2265,2021,RS
203825,1.019,1.048,2.069,3282,2021,RS
203827,0.418,-1.058,-0.19,1033,2021,RS
203828,-0.448,0.634,0.303,1501,2021,RS
203831,-0.306,-0.297,-1.222,931,2021,RS
203833,0.796,2.052,1.972,3271,2021,RS
203838,-2.563,-0.475,-2.421,1318,2021,RS
203849,-3.579,0.139,-3.506,1774,2021,RS
203855,-0.601,0.61,-0.334,1866,2021,RS
203866,1.171,-1.351,-0.08,2646,2021,RS
204296,-3.28,-0.985,-4.068,1891,2021,RS
204319,2.174,-1.413,0.005,3553,2021,RS
204320,-1.051,0.883,0.35,1966,2021,RS
204322,0.884,1.465,1.702,1708,2021,RS
204323,0.975,-1.217,-0.908,690,2021,RS
204324,2.018,0.634,1.384,2411,2021,RS
204325,1.468,0.248,0.985,1208,2021,RS
204329,2.008,-1.071,1.234,1673,2021,RS
204330,3.093,0.878,2.57,2143,2021,RS
204333,0.683,0.397,1.414,2502,2021,RS
204334,1.357,-0.823,1.125,655,2021,RS
204335,-1.006,-2.051,-1.133,3598,2021,RS
204355,-0.726,1.159,0.75,439,2021,RS
204365,-1.497,0.146,-0.781,2848,2021,RS
1627668,2.727,2.459,3.855,3174,2021,RS
1627669,0.169,-0.294,-0.635,1384,2021,RS
1627671,0.577,1.45,1.787,1380,2021,RS
1627672,1.102,1.293,2.113,1063,2021,RS
1627673,5.284,3.03,5.52,2494,2021,RS
1627674,0.543,-0.231,0.368,3229,2021,RS
1627675,-1.042,-1.172,-1.014,3308,2021,RS
1627676,-0.9,1.005,1.189,2328,2021,RS
1627678,-2.504,0.768,-1.684,1225,2021,RS
1628242,-0.436,-0.616,-0.377,1024,2021,RS
1628244,1.298,-2.185,-0.299,2627,2021,RS
1628263,-0.835,-1.62,-1.599,1598,2021,RS
1628269,0.38,0.144,0.681,2520,2021,RS
1628276,0.991,-0.232,-0.143,2277,2021,RS
1628277,0.821,0.596,1.31,2138,2021,RS
1628278,-0.681,-0.207,-0.267,1056,2021,RS
1628279,-1.337,1.496,-0.095,3052,2021,RS
1628280,2.472,1.341,2.21,2919,2021,RS
1628282,1.156,-1.631,0.277,1865,2021,RS
1628286,1.688,-1.792,0.135,1341,2021,RS
1628317,-0.573,0.298,0.265,779,2021,RS
1628878,-0.345,-2.72,-2.333,2825,2021,RS
1628881,-0.591,-0.388,-1.058,2385,2021,RS
1628882,-2.125,0.791,-1.276,499,2021,RS
1628886,1.532,1.056,2.181,1949,2021,RS
1628890,-1.699,-0.529,-2.226,2944,2021,RS
1628899,-0.658,-0.332,-0.966,1357,2021,RS
1628909,1.276,-0.234,1.674,3194,2021,RS
1628915,-0.17,-1.143,-1.276,2470,2021,RS
1628917,-0.249,-1.067,-1.845,905,2021,RS
1628920,0.712,1.612,1.936,2381,2021,RS
1628922,1.823,0.091,1.231,2124,2021,RS
1628927,-0.761,-1.003,-1.452,2485,2021,RS
1628932,0.941,0.138,0.636,3278,2021,RS
1629477,0.435,-2.959,-1.327,2776,2021,RS
1629478,1.132,-0.422,0.164,1796,2021,RS
1629479,4.035,-0.192,3.636,2440,2021,RS
1629481,-0.38,-1.447,-1.131,2844,2021,RS
1629482,-0.464,-1.03,-1.694,1871,2021,RS
1629483,3.244,-0.031,1.547,2865,2021,RS
1629485,0.157,-0.174,-0.238,551,2021,RS
1629488,2.036,2.544,3.311,3029,2021,RS
1629491,-0.498,-1.283,-1.101,1077,2021,RS
1629492,-1.718,1.143,-1.261,803,2021,RS
1629496,0.764,0.461,0.229,1530,2021,RS
1629497,1.729,-1.082,0.343,2598,2021,RS
1629498,1.546,1.437,1.916,3654,2021,RS
1629501,-2.363,0.822,-3.232,462,2021,RS
1629524,-1.178,-0.444,-1.731,2182,2021,RS
1629567,0.967,1.244,1.264,2002,2021,RS
1629568,-0.944,-1.538,-2.443,455,2021,RS
1630043,-0.898,0.796,0.181,303,2021,RS
1630093,0.505,3.249,2.728,1283,2021,RS
1630096,-0.199,-0.014,-1.379,563,2021,RS
1630097,-1.648,1.633,-0.524,1386,2021,RS
1630099,-4.747,0.784,-3.013,2132,2021,RS
1630100,-1.336,0.482,-0.957,1171,2021,RS
1630101,-0.716,0.04,-0.748,2176,2021,RS
1630112,-1.535,-1.29,-2.288,1362,2021,RS
1630113,2.288,0.059,1.313,1398,2021,RS
1630119,-3.506,0.078,-2.624,1513,2021,RS
1630127,-1.072,0.344,0.099,813,2021,RS
1630131,-1.694,-0.088,-0.83,1957,2021,RS
1630136,-2.507,0.524,-1.365,1471,2021,RS
1630137,-2.704,0.351,-2.48,355,2021,RS
1630149,0.174,1.283,2.102,1159,2021,RS
1630150,0.721,-0.114,0.625,774,2021,RS
1630386,-0.967,-0.319,-2.259,433,2021,RS
1630389,0.057,-0.496,0.197,1086,2021,RS
1630438,-2.292,-0.315,-2.331,439,2021,RS
1630441,-1.216,1.016,0.241,822,2021,RS
1630446,-0.314,-0.526,0.176,2412,2021,RS
1630454,-0.425,-2.818,-1.659,1229,2021,RS
1630458,-2.324,-1.314,-3.167,610,2021,RS
1630459,-2.147,0.899,-0.94,1364,2021,RS
1630462,-0.76,0.26,-0.277,1651,2021,RS
