player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100720,2.495,-1.028,1.287,3603,2023,RS,3
100940,1.137,0.794,1.704,3913,2023,RS,3
200676,-0.658,-0.255,-0.998,958,2023,RS,3
201480,1.06,0.091,1.248,2854,2023,RS,3
201496,0.487,2.203,1.272,3646,2023,RS,3
201507,-0.384,0.197,-0.147,1175,2023,RS,3
201516,3.349,-0.88,1.994,3051,2023,RS,3
201886,3.49,2.401,3.553,4270,2023,RS,3
201896,-0.476,0.48,-0.496,2233,2023,RS,3
201911,-0.63,-1.615,-1.539,1403,2023,RS,3
201913,-2.085,-0.48,-1.696,1988,2023,RS,3
201919,0.149,0.909,0.796,659,2023,RS,3
202250,1.726,0.924,3.0,3080,2023,RS,3
202252,1.074,-0.159,0.584,3180,2023,RS,3
202259,-1.961,-0.208,-2.058,1484,2023,RS,3
202633,-2.483,-0.58,-1.904,1761,2023,RS,3
202638,0.242,-1.299,-0.966,667,2023,RS,3
202641,-1.714,0.355,-2.521,574,2023,RS,3
202650,-1.905,-2.431,-3.158,1512,2023,RS,3
202658,-0.38,-0.893,-0.582,2800,2023,RS,3
202662,0.327,3.595,3.062,1583,2023,RS,3
202664,3.091,0.71,2.15,4669,2023,RS,3
203014,-0.801,-1.257,-1.541,2997,2023,RS,3
203024,1.364,-0.733,0.491,1651,2023,RS,3
203026,1.572,-1.351,0.474,3379,2023,RS,3
203029,-2.638,-0.986,-2.615,2482,2023,RS,3
203035,-1.504,-1.399,-2.259,3419,2023,RS,3
203389,-0.352,-0.037,-0.11,505,2023,RS,3
203398,2.363,1.67,2.625,3367,2023,RS,3
203399,3.545,2.675,4.447,2725,2023,RS,3
203400,3.255,1.425,3.583,3375,2023,RS,3
203403,-0.18,-0.278,-0.127,3031,2023,RS,3
203406,2.168,1.3,3.321,1857,2023,RS,3
203416,2.338,0.945,2.857,1761,2023,RS,3
203822,-0.102,2.709,0.329,1405,2023,RS,3
203823,0.976,0.3,0.722,476,2023,RS,3
203824,-3.262,-1.128,-3.291,1790,2023,RS,3
203825,1.288,-0.726,0.658,5686,2023,RS,3
203826,1.062,1.922,1.77,3792,2023,RS,3
203827,0.207,-0.761,-0.448,3345,2023,RS,3
203828,-1.502,1.298,0.469,2690,2023,RS,3
203831,0.352,0.601,0.166,1305,2023,RS,3
203833,1.578,2.925,2.399,6105,2023,RS,3
203838,-1.476,0.561,-1.211,673,2023,RS,3
203849,-1.82,-0.49,-1.851,1916,2023,RS,3
203855,-0.398,0.862,0.229,2440,2023,RS,3
203866,-0.901,0.265,-1.109,4474,2023,RS,3
204296,-1.127,1.168,-0.386,3377,2023,RS,3
204319,0.632,-0.626,0.572,6981,2023,RS,3
204320,-1.881,1.168,-0.808,1690,2023,RS,3
204322,-1.701,2.226,0.183,2924,2023,RS,3
204323,0.872,1.003,1.486,1960,2023,RS,3
204324,-0.955,0.808,-0.068,4498,2023,RS,3
204325,-0.511,0.47,0.101,424,2023,RS,3
204329,0.942,1.111,1.358,3362,2023,RS,3
204330,0.59,0.83,0.885,2572,2023,RS,3
204333,0.052,1.101,1.164,5819,2023,RS,3
204334,0.941,-2.557,-1.328,657,2023,RS,3
204335,1.62,0.981,2.156,2617,2023,RS,3
204365,-0.765,-3.233,-1.627,4124,2023,RS,3
1627643,-0.034,-1.285,-0.814,395,2023,RS,3
1627668,4.023,2.213,3.824,6601,2023,RS,3
1627669,-1.545,-2.033,-1.937,4098,2023,RS,3
1627671,0.111,2.476,1.626,2202,2023,RS,3
1627672,0.269,-0.789,0.421,2658,2023,RS,3
1627673,3.824,0.357,2.325,2625,2023,RS,3
1627674,1.285,-0.287,1.376,5107,2023,RS,3
1627675,-1.857,-0.877,-1.003,3133,2023,RS,3
1627676,-2.338,-0.643,-1.146,2007,2023,RS,3
1627678,-2.193,0.201,-1.455,587,2023,RS,3
1627700,-0.708,-0.02,-0.711,885,2023,RS,3
1628242,-0.334,-0.948,-0.697,1634,2023,RS,3
1628244,0.247,-1.725,-0.628,3482,2023,RS,3
1628263,2.605,-3.094,0.747,1921,2023,RS,3
1628269,-1.14,0.85,-0.04,2544,2023,RS,3
1628276,5.618,-0.708,3.931,6298,2023,RS,3
1628277,1.944,1.565,2.491,5107,2023,RS,3
1628278,0.785,1.494,1.186,4395,2023,RS,3
1628279,0.089,1.421,0.872,4414,2023,RS,3
1628280,1.282,2.616,2.047,2042,2023,RS,3
1628282,0.131,-1.273,-0.969,1001,2023,RS,3
1628286,-0.698,-0.716,-1.243,758,2023,RS,3
1628287,-0.599,0.152,-0.101,706,2023,RS,3
1628317,1.043,-2.016,0.21,1329,2023,RS,3
1628878,0.846,0.347,0.342,4385,2023,RS,3
1628881,0.149,0.249,0.127,2791,2023,RS,3
1628882,0.354,-0.216,0.741,1567,2023,RS,3
1628886,-0.006,0.647,0.174,3860,2023,RS,3
1628890,-2.26,0.275,-1.714,2888,2023,RS,3
1628899,0.132,-1.601,-0.646,3322,2023,RS,3
1628909,0.244,-1.416,-0.124,4707,2023,RS,3
1628915,-0.507,-1.937,-1.559,3022,2023,RS,3
1628917,0.333,-0.785,-0.37,509,2023,RS,3
1628920,-0.189,0.772,-0.035,2791,2023,RS,3
1628922,0.124,0.559,0.161,3999,2023,RS,3
1628927,-1.819,-1.524,-2.338,3487,2023,RS,3
1628929,-0.427,-0.274,-0.26,2426,2023,RS,3
1628931,-0.993,-0.352,-1.088,2666,2023,RS,3
1628932,4.05,2.884,3.466,6806,2023,RS,3
1629476,-0.983,0.726,0.152,1125,2023,RS,3
1629477,1.472,-1.699,0.637,3868,2023,RS,3
1629478,2.454,-0.201,1.962,2228,2023,RS,3
1629479,3.323,0.905,2.933,3477,2023,RS,3
1629480,1.711,-1.516,-0.127,1002,2023,RS,3
1629481,1.252,-1.789,0.404,6237,2023,RS,3
1629482,1.152,-2.456,-0.791,4478,2023,RS,3
1629483,1.179,0.921,0.157,3953,2023,RS,3
1629484,0.524,-2.82,-1.514,2113,2023,RS,3
1629485,0.774,0.666,0.096,568,2023,RS,3
1629488,-0.015,1.305,0.746,5860,2023,RS,3
1629491,-1.372,0.778,0.214,3461,2023,RS,3
1629492,-0.155,0.339,-0.257,614,2023,RS,3
1629496,0.23,1.607,1.501,4815,2023,RS,3
1629497,1.981,-1.887,0.457,4476,2023,RS,3
1629498,3.039,-0.8,1.15,7191,2023,RS,3
1629501,0.229,0.898,0.565,1690,2023,RS,3
1629524,0.826,2.365,2.095,2809,2023,RS,3
1629546,-0.598,-1.393,-1.53,1279,2023,RS,3
1629567,0.571,0.237,0.61,3521,2023,RS,3
1629568,-0.734,-0.093,-0.872,910,2023,RS,3
1629571,-1.777,-1.862,-3.001,621,2023,RS,3
1630093,-0.587,2.293,1.427,803,2023,RS,3
1630096,1.946,0.983,2.105,1250,2023,RS,3
1630097,-0.264,1.538,1.355,487,2023,RS,3
1630099,-1.719,1.607,0.065,1088,2023,RS,3
1630100,0.131,-1.176,0.56,467,2023,RS,3
