player_id,orapm_prior,drapm_prior
1628932,0.010351313131173186,0.004837241379310346
1627672,0.007991946113181332,0.000837241379310345
1628268,0.005750485848643198,0.0004372413793103456
1629501,0.0006296870691513934,-0.0007627586206896547
1628283,-0.008943270415608585,0.002037241379310346
1628297,0.02492985276555325,-0.0027627586206896543
1627704,-0.01357859126421461,-0.008762758620689655
201516,0.002184162062454281,-0.003362758620689654
1628277,0.009550651430850751,0.0008372413793103457
202252,0.00839137826612335,0.0028372413793103456
203826,0.0049957188102050295,0.004037241379310346
204320,-0.010466677117722381,0.002837241379310345
201881,0.013367473441846984,0.004837241379310346
1628878,0.004011953238304029,0.003637241379310345
1629481,0.0033550415375498853,0.0004372413793103447
203838,-0.007846451039611117,-0.0007627586206896547
203069,0.004828669156914858,-0.008762758620689655
1628922,0.00405027139060667,0.004037241379310347
1629492,0.0007384586921829038,0.003237241379310345
1630093,-0.002552929880635399,0.0060372413793103475
204335,0.0009207626844691644,0.0006372413793103447
204355,-0.005110643581818144,-0.0005627586206896548
1627668,0.006940929470305144,0.005837241379310346
203829,-9.561607816551154e-05,0.0004372413793103447
1627678,-0.009293017892073348,0.0016372413793103464
201896,-0.009476913201346675,-0.0029627586206896544
1629488,0.005500937413360705,0.005637241379310345
1629524,0.0031757968560851614,-0.0035627586206896543
1628280,0.01128060348650635,0.0066372413793103465
1630095,-0.003271211102046443,0.020637241379310348
203398,0.001776846215355697,-0.0011627586206896551
1628279,0.004348030750669324,0.004437241379310345
201496,0.0025950162114827926,0.002837241379310345
200676,0.00016529657927978825,-0.002562758620689655
202670,0.0017888995943880802,-0.0059627586206896545
203833,-0.0057808021794167885,0.0014372413793103452
1630150,0.00047628322206774335,-0.0011627586206896545
204323,0.009491966584756373,0.0046372413793103456
204332,-0.012939439978135365,-0.008762758620689655
202664,0.0023568098760780756,-0.0003627586206896545
1627675,-0.010562352111214219,-0.0043627586206896555
1630101,0.0015959300636570908,-0.0029627586206896557
201518,-0.010791194989770145,-0.005762758620689654
203024,0.005129334608979174,0.0008372413793103461
202658,0.0012982388884525916,-0.0011627586206896545
201886,0.004378635100216621,0.0028372413793103456
204324,0.005866797028576686,0.003437241379310345
1628890,-0.013195855491266102,0.0016372413793103455
100940,0.011306977451650798,-0.0005627586206896548
204322,0.005795789410891191,0.0010372413793103452
1628242,-0.0006419655172413776,-0.008762758620689655
203416,-0.002425214911887607,0.0014372413793103452
202259,-0.004482808560203665,-0.0013627586206896543
1628286,0.003910509124544693,0.0014372413793103456
201502,-0.01300713646026037,-0.0021627586206896545
1629496,0.011902762387320506,0.004437241379310345
1628931,-0.004745941016266316,0.0024372413793103463
203017,-0.004350686034766326,0.004037241379310346
204330,-0.0022555984372621884,-0.00016275862068965475
