player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100720,3.04,-0.499,1.653,2216,2021,RS,3
100940,0.066,0.795,0.407,2053,2021,RS,3
101023,-0.607,-0.127,-1.103,326,2021,RS,3
101030,1.27,0.042,1.212,864,2021,RS,3
200671,2.067,0.628,1.932,1209,2021,RS,3
200676,-1.637,-1.309,-1.994,2283,2021,RS,3
201480,2.208,2.209,2.938,3350,2021,RS,3
201496,0.099,-0.156,0.414,2839,2021,RS,3
201502,-2.424,0.232,-1.957,1214,2021,RS,3
201506,5.126,1.441,4.376,1136,2021,RS,3
201507,-1.041,-2.55,-1.805,3579,2021,RS,3
201516,4.448,-1.121,3.071,3211,2021,RS,3
201518,-0.058,-0.991,-0.809,1146,2021,RS,3
201881,-16.653,-0.868,-14.503,677,2021,RS,3
201886,0.425,1.086,0.586,3419,2021,RS,3
201896,-0.836,2.919,1.157,2467,2021,RS,3
201904,-3.126,-1.01,-2.683,1453,2021,RS,3
201911,3.339,-0.908,1.091,1843,2021,RS,3
201913,0.398,-1.563,-0.991,2156,2021,RS,3
201919,-1.99,-0.253,-1.294,1284,2021,RS,3
202250,1.023,0.213,2.241,2930,2021,RS,3
202252,2.349,0.408,1.529,2740,2021,RS,3
202259,-0.257,0.024,-1.099,1119,2021,RS,3
202633,-0.667,0.74,-0.56,1940,2021,RS,3
202638,-2.163,-1.212,-2.718,1850,2021,RS,3
202641,-1.318,-0.446,-1.499,481,2021,RS,3
202650,-0.575,-2.665,-1.386,1626,2021,RS,3
202658,1.845,-0.288,1.033,3378,2021,RS,3
202662,1.039,2.587,2.379,2619,2021,RS,3
202664,3.091,0.647,2.434,3608,2021,RS,3
202670,0.531,-0.246,0.645,1188,2021,RS,3
203014,-1.646,1.567,-0.334,2163,2021,RS,3
203015,-1.155,1.285,-0.156,1751,2021,RS,3
203017,-1.518,-1.102,-1.498,1262,2021,RS,3
203018,-0.73,1.053,0.503,456,2021,RS,3
203024,0.354,-1.15,-0.455,2802,2021,RS,3
203026,-0.44,0.534,0.622,2020,2021,RS,3
203029,0.185,0.418,0.532,2945,2021,RS,3
203035,-2.252,0.138,-1.762,1713,2021,RS,3
203043,-0.62,-0.075,-0.359,415,2021,RS,3
203398,0.755,2.855,3.021,3396,2021,RS,3
203399,6.092,2.326,7.027,1462,2021,RS,3
203400,5.335,1.239,4.54,3294,2021,RS,3
203403,-0.997,-1.75,-2.078,1958,2021,RS,3
203405,0.176,1.219,0.998,380,2021,RS,3
203406,-0.37,0.771,1.011,2020,2021,RS,3
203410,-1.062,0.326,-0.252,849,2021,RS,3
203411,0.257,1.043,0.177,1018,2021,RS,3
203416,0.353,1.534,1.272,2054,2021,RS,3
203437,-1.035,-0.637,-1.267,1306,2021,RS,3
203823,-1.086,1.455,-0.204,361,2021,RS,3
203824,-1.153,0.86,-0.199,3246,2021,RS,3
203825,0.617,-0.924,0.332,4387,2021,RS,3
203826,-1.469,0.454,-0.649,1888,2021,RS,3
203827,-1.428,0.742,-0.484,2869,2021,RS,3
203828,1.637,-0.003,0.923,2580,2021,RS,3
203829,0.631,-2.291,-1.129,1554,2021,RS,3
203831,-0.733,-0.046,-0.8,1293,2021,RS,3
203833,-0.79,0.906,0.236,3495,2021,RS,3
203838,-1.53,0.245,-1.195,1080,2021,RS,3
203849,-3.448,0.321,-2.958,1826,2021,RS,3
203855,-1.427,0.981,-0.187,2332,2021,RS,3
203866,0.524,0.354,0.654,3605,2021,RS,3
204296,-2.955,1.691,-2.008,1217,2021,RS,3
204319,2.434,0.717,1.906,4496,2021,RS,3
204320,-3.318,-0.491,-2.22,2880,2021,RS,3
204321,-2.211,-0.991,-2.781,727,2021,RS,3
204322,-1.2,0.638,0.01,2916,2021,RS,3
204323,-0.32,0.613,-0.446,619,2021,RS,3
204324,1.699,2.664,2.476,3224,2021,RS,3
204325,-0.543,1.143,-0.237,424,2021,RS,3
204327,-3.428,0.385,-4.026,712,2021,RS,3
204329,-0.643,0.769,0.502,1937,2021,RS,3
204330,-1.634,-0.063,-1.206,2630,2021,RS,3
204333,1.643,3.242,2.619,2922,2021,RS,3
204334,0.797,-1.355,0.334,811,2021,RS,3
204335,-1.693,0.666,0.182,2651,2021,RS,3
204355,-2.336,-0.186,-2.058,919,2021,RS,3
204365,-1.849,0.72,-0.278,1938,2021,RS,3
1627668,3.412,1.935,2.884,3341,2021,RS,3
1627669,-2.415,-0.404,-2.546,1000,2021,RS,3
1627670,-0.56,-0.146,-0.687,365,2021,RS,3
1627671,1.543,1.153,1.643,1741,2021,RS,3
1627672,2.213,1.889,2.97,1768,2021,RS,3
1627673,4.785,1.583,4.414,1789,2021,RS,3
1627674,1.76,0.94,2.155,2933,2021,RS,3
1627675,0.234,-1.489,-0.507,2761,2021,RS,3
1627676,-1.579,-1.516,-1.607,1260,2021,RS,3
1627677,1.5,1.566,2.664,373,2021,RS,3
1627678,-4.248,-1.345,-4.64,1381,2021,RS,3
1627700,2.044,-1.187,0.88,643,2021,RS,3
1627701,-0.536,0.509,0.259,408,2021,RS,3
1628242,-0.046,-0.463,0.097,403,2021,RS,3
1628244,2.061,-1.961,0.507,3171,2021,RS,3
1628263,2.129,-1.327,1.663,1467,2021,RS,3
1628268,-1.331,0.669,-0.281,822,2021,RS,3
1628269,0.578,-0.053,0.338,2362,2021,RS,3
1628273,-2.081,0.935,-0.519,885,2021,RS,3
1628276,0.194,-0.796,-0.612,2405,2021,RS,3
1628277,1.138,-0.505,0.635,3459,2021,RS,3
1628278,4.481,2.512,4.695,2365,2021,RS,3
1628279,-0.203,0.672,0.607,3550,2021,RS,3
1628280,1.557,1.923,2.276,1707,2021,RS,3
1628282,-1.142,-1.009,-1.03,2160,2021,RS,3
1628286,0.405,-0.589,-0.185,1351,2021,RS,3
1628317,1.018,-0.756,1.183,341,2021,RS,3
1628878,1.143,0.13,0.456,4014,2021,RS,3
1628881,-1.295,-0.817,-2.058,2287,2021,RS,3
1628882,-2.67,0.717,-2.2,1932,2021,RS,3
1628886,1.415,2.937,3.156,3532,2021,RS,3
1628890,-2.368,0.398,-1.744,3211,2021,RS,3
1628895,1.131,-0.562,0.27,755,2021,RS,3
1628899,0.948,-1.901,-0.967,1984,2021,RS,3
1628907,-0.785,0.442,-0.134,618,2021,RS,3
1628909,-0.453,-0.55,-0.199,2265,2021,RS,3
1628915,-2.255,-2.593,-2.783,4116,2021,RS,3
1628917,-0.216,-0.598,-1.117,650,2021,RS,3
1628920,1.677,-0.044,1.19,3315,2021,RS,3
1628922,-0.561,0.152,-0.65,2090,2021,RS,3
1628927,1.026,-1.752,-0.976,1206,2021,RS,3
1628931,0.25,0.151,0.362,945,2021,RS,3
1628932,3.492,-0.593,2.827,3997,2021,RS,3
1629476,-1.203,-0.247,-1.037,762,2021,RS,3
1629477,-0.714,-1.946,-1.152,1501,2021,RS,3
1629478,1.426,-0.397,0.765,2138,2021,RS,3
1629479,2.593,0.463,2.737,1899,2021,RS,3
1629480,-3.077,-0.775,-2.212,312,2021,RS,3
1629481,0.998,-2.131,-0.328,4515,2021,RS,3
1629482,-0.695,0.374,-0.764,2246,2021,RS,3
1629483,2.073,0.124,1.246,4622,2021,RS,3
1629484,0.383,-0.034,1.019,539,2021,RS,3
1629485,0.39,-0.525,-0.301,1073,2021,RS,3
1629488,2.588,0.16,1.223,3399,2021,RS,3
1629491,-0.398,0.958,0.824,1011,2021,RS,3
1629492,-0.537,0.369,-0.983,710,2021,RS,3
1629496,0.453,0.586,-0.701,1700,2021,RS,3
1629497,2.205,0.216,1.419,2426,2021,RS,3
