player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100940,0.552,1.274,1.422,3552,2026,RS,3
201886,0.081,4.261,2.071,6610,2026,RS,3
202250,0.418,-3.445,-0.507,7036,2026,RS,3
202252,-2.703,1.927,-0.176,6356,2026,RS,3
202641,0.358,1.122,0.649,1855,2026,RS,3
202664,-1.066,0.28,-0.708,2523,2026,RS,3
203014,-0.217,3.444,2.356,8155,2026,RS,3
203024,-0.118,-0.107,-0.938,1973,2026,RS,3
203026,0.406,0.204,1.183,4544,2026,RS,3
203035,0.638,0.126,0.83,853,2026,RS,3
203398,3.252,0.657,3.382,5247,2026,RS,3
203400,6.555,1.35,6.164,8660,2026,RS,3
203406,-0.55,-1.246,-1.333,959,2026,RS,3
203416,0.132,0.614,0.706,1424,2026,RS,3
203822,0.109,1.513,-0.04,2151,2026,RS,3
203824,-0.785,-0.652,-0.425,3919,2026,RS,3
203825,0.803,-0.533,1.958,7605,2026,RS,3
203826,1.795,2.345,2.502,7485,2026,RS,3
203827,1.119,-0.592,0.485,5914,2026,RS,3
203828,-1.77,1.066,1.598,5433,2026,RS,3
203829,2.665,-6.99,-2.112,2655,2026,RS,3
203833,1.129,-0.492,1.126,7013,2026,RS,3
203855,-3.412,1.043,-1.346,3811,2026,RS,3
203863,3.448,-7.732,-2.947,1234,2026,RS,3
203866,1.475,1.013,2.065,5333,2026,RS,3
204296,-1.86,-1.103,-1.721,4016,2026,RS,3
204319,-0.115,1.752,1.274,8889,2026,RS,3
204322,0.336,2.493,2.672,3589,2026,RS,3
204323,-4.839,0.651,-2.049,1421,2026,RS,3
204324,1.399,-0.296,2.219,8120,2026,RS,3
204329,-2.609,2.453,-1.649,3641,2026,RS,3
204330,-1.053,0.96,0.206,3544,2026,RS,3
204333,-0.385,-0.365,-0.041,8711,2026,RS,3
204335,2.676,0.434,0.513,2813,2026,RS,3
204365,2.968,-1.451,0.785,6056,2026,RS,3
1627668,2.871,1.395,4.837,7339,2026,RS,3
1627669,-1.984,-0.158,-1.7,924,2026,RS,3
1627671,-1.41,-4.733,-2.213,5551,2026,RS,3
1627672,1.29,0.832,1.798,1515,2026,RS,3
1627673,2.318,2.804,2.809,6522,2026,RS,3
1627674,-0.49,-2.343,-1.576,5955,2026,RS,3
1627675,-0.624,2.389,0.264,8034,2026,RS,3
1627676,-2.366,2.625,-0.076,3156,2026,RS,3
1627700,2.541,-0.839,1.115,3328,2026,RS,3
1627701,-3.052,1.951,-0.878,4498,2026,RS,3
1628242,-0.402,0.858,0.279,798,2026,RS,3
1628244,0.078,-0.177,0.621,5782,2026,RS,3
