factor,beta
ots,116.12145680469898
otov,-110.49171709446169
oreb,41.95222764043293
otrans,-6.924512308844442
dts,104.28006991652596
dtov,33.57683785974973
dreb,18.48367457634349
dtrans,6.4152732193386015
intercept,-0.1458798223489373
r2,0.684645725179962
