player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100720,0.067,0.613,-0.035,3317,2018,RS,3
100812,-1.516,-0.111,-1.356,702,2018,RS,3
100888,-0.74,3.116,0.87,1281,2018,RS,3
100915,0.154,1.492,1.355,1798,2018,RS,3
100940,4.32,0.414,4.718,2214,2018,RS,3
100944,-0.53,0.197,-0.654,2589,2018,RS,3
100949,-2.501,0.283,-2.526,3386,2018,RS,3
100952,0.016,1.264,0.138,1321,2018,RS,3
101023,0.463,-1.224,-0.638,2126,2018,RS,3
101030,-1.686,-0.999,-1.638,1230,2018,RS,3
200665,-2.614,0.508,-1.781,2214,2018,RS,3
200671,1.835,0.199,2.077,3072,2018,RS,3
200673,1.011,-1.182,0.098,2368,2018,RS,3
200676,-0.886,-0.955,-0.283,3065,2018,RS,3
201049,-2.222,1.651,0.324,1463,2018,RS,3
201050,0.112,2.102,1.484,403,2018,RS,3
201056,-0.742,0.166,-0.544,1177,2018,RS,3
201062,-0.795,1.025,0.089,504,2018,RS,3
201067,0.087,-3.436,-3.336,1018,2018,RS,3
201477,-0.259,0.177,0.208,3118,2018,RS,3
201480,1.232,-0.167,0.025,3419,2018,RS,3
201492,-0.807,1.005,-0.131,596,2018,RS,3
201496,1.662,2.368,2.16,3602,2018,RS,3
201502,3.045,0.177,2.14,2354,2018,RS,3
201503,-2.002,-0.194,-2.234,1612,2018,RS,3
201506,11.724,-0.652,8.494,1000,2018,RS,3
201507,-1.115,-0.747,-1.995,1461,2018,RS,3
201516,0.328,-2.246,-0.795,2715,2018,RS,3
201518,-0.474,-5.778,-4.777,2607,2018,RS,3
201530,-0.492,1.199,-1.212,738,2018,RS,3
201881,0.615,1.322,2.238,1362,2018,RS,3
201886,0.842,-1.029,0.327,1385,2018,RS,3
201889,-1.275,-1.645,-1.807,2168,2018,RS,3
201896,-1.104,-4.931,-3.54,2600,2018,RS,3
201904,0.477,1.263,0.745,3548,2018,RS,3
201907,2.165,-6.258,-3.039,1146,2018,RS,3
201911,6.773,-2.503,3.109,3635,2018,RS,3
201913,-0.821,-0.323,-0.582,2177,2018,RS,3
201919,-1.132,0.458,-0.383,2355,2018,RS,3
202250,2.12,0.622,3.266,3140,2018,RS,3
202252,0.151,0.413,0.294,3650,2018,RS,3
202259,-1.031,-0.849,-1.483,1762,2018,RS,3
202632,1.841,2.377,2.914,3784,2018,RS,3
