player_id,player_name,poss,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans,net_rapm_full,net_rapm_reconstructed,residual,absresid
1627675,Courtney Williams,2194,0.004670543,-0.002714527,-0.003555326,0.006412445,0.008486141,0.013635371,-0.004429303,-0.002428146,1.307,2.808301867,-1.501301867,
1627668,Breanna Stewart,2380,0.008862771,-0.00200929,-0.000164092,0.018066138,0.008207642,-0.001499715,0.003248364,0.003212272,3.063,2.604746945,0.458253055,
1629524,Bridget Carleton,2511,0.008767464,-0.000139046,0.004463223,0.013350761,0.006021371,0.006665395,-0.004607375,0.001350139,3.092,2.55860696,0.53339304,
203014,Nneka Ogwumike,2177,0.008574517,-0.005802311,-0.004459147,0.012902576,0.011350842,-0.000754682,-0.007783826,0.004364076,3.819,2.535320552,1.283679448,
1628280,Brionna Jones,1963,0.002675295,-0.005116367,0.004831526,0.008014056,0.006288619,0.00018226,0.009611287,0.004998668,3.951,2.342120265,1.608879735,
203825,Kayla McBride,2697,0.011510972,-0.00491938,-0.00421162,0.013075244,0.00178829,0.00805737,-0.010283131,-0.002660583,2.666,2.253536971,0.412463029,
1629483,Napheesa Collier,2519,0.008784129,-0.002900141,-0.002990806,0.002417504,0.005877309,0.004830843,-0.005537118,0.00311451,1.843,2.134321202,-0.291321202,
1629477,Sabrina Ionescu,2504,0.008587179,-0.00251921,0.000219999,0.013142413,0.004805773,-0.004497631,0.006822646,0.0035644,1.524,2.056597606,-0.532597606,
1627673,Jonquel Jones,1851,0.013589944,0.001555723,0.005751304,0.015368209,-0.000549463,-0.005687843,0.00668625,-0.000857651,1.574,1.87092478,-0.29692478,
1641657,Dorka Juhasz,1560,0.004557404,0.000114275,0.002616853,-0.008847914,0.007526533,0.004450625,-0.000835732,0.006840525,2.346,1.835544108,0.510455892,
202252,Alysha Clark,2107,0.001108137,-0.003125879,-0.005176519,-8.72E-05,0.010147685,-0.001420162,0.008909719,0.011909924,1.711,1.717119499,-0.006119499,
1629497,Marina Mabrey,2440,-0.00321256,-0.003904908,0.000785602,0.011073735,0.009985296,0.008610368,-0.00416439,0.0102716,2.118,1.661725926,0.456274074,
204296,Rebecca Allen,743,0.007537922,-0.000959699,0.00152848,0.004632703,0.001312578,0.00360983,-0.001417578,-0.0038746,1.782,1.62107661,0.16092339,
1628276,Kelsey Plum,2811,0.00787465,-0.005886992,-0.009977252,0.004561758,-4.08E-05,0.000372217,0.00827758,0.006086191,1.56,1.507859488,0.052140512,
203833,Chelsea Gray,1470,0.006516446,-0.005443439,-0.011124393,0.003459934,0.005091639,-0.002478715,0.002598578,0.001839611,0.652,1.464447822,-0.812447822,
1630142,Leonie Fiebich,1494,-0.001110549,-0.002913479,0.007267938,-0.000280459,0.010524315,0.001739266,-0.005693278,0.013185387,2.232,1.415357174,0.816642826,
1642290,Aaliyah Edwards,1872,0.004416191,0.001585971,0.003478344,-0.002910743,-7.75E-05,0.009653028,0.00364171,0.006336677,1.852,1.408996248,0.443003752,
203826,Alyssa Thomas,2796,0.001883002,-0.002533907,0.00198694,0.008834396,0.000966356,0.005511887,0.003281431,0.004754063,0.129,1.264679717,-1.135679717,
1631007,Veronica Burton,870,0.007973245,0.000129016,-0.002946878,0.004975302,0.002228554,0.005490156,-0.005732941,0.007783799,1.282,1.253826835,0.028173165,
1631009,Rhyne Howard,1752,-0.000417716,-0.006562089,-0.0043042,-0.003200168,0.00797251,-0.001336507,0.000649704,0.001357117,1.207,1.242369653,-0.035369653,
1628932,A'ja Wilson,3200,0.005719942,-0.006128051,-0.011805509,0.005503394,0.001255308,-0.001632089,0.009536026,0.007824171,1.194,1.221555375,-0.027555375,
1631021,Sika Kone,501,0.005551047,0.003407008,-0.000537692,0.00300915,0.003766946,0.002972235,-0.001541734,-0.001042302,1.728,1.113937154,0.614062846,
203866,Kayla Thornton,1651,-0.002438258,-0.00342688,0.002171737,0.003108409,0.006761867,0.001032047,0.002092907,0.005194856,0.91,1.073236877,-0.163236877,
1631086,Lexie Hull,1414,0.006974606,-0.00182503,0.003251447,0.002096986,0.00205377,-0.004330665,-0.001126539,0.001708343,1.616,1.041743849,0.574256151,
202250,Tina Charles,1928,-0.001546834,-0.004817261,-0.001577636,0.009473979,0.002381332,0.002947339,0.005590077,8.85E-05,1.354,1.036850552,0.317149448,
204335,Betnijah Laney-Hamilton,1667,0.010335427,-0.000646757,-0.002119025,0.013594192,-0.001704894,-0.003200115,0.001794485,0.000762154,0.81,1.01990636,-0.20990636,
203398,Brittney Griner,1637,0.006797948,-0.003119779,-0.013349294,0.00181407,0.007525766,-0.002510152,-0.008634211,-0.003777657,2.252,1.012715912,1.239284088,
100940,Diana Taurasi,2289,0.00297128,0.00469229,-0.006291953,-0.001041636,0.009925293,0.000491294,-0.003360501,-0.003344354,1.841,0.964068441,0.876931559,
1628317,Karlie Samuelson,1550,0.003727258,0.001043267,-0.008503221,-0.004830063,0.005144997,0.005906186,-0.004799376,-0.000418545,1.335,0.905962451,0.429037549,
1631022,Shakira Austin,571,-0.001020942,0.0011462,-0.001770844,-0.001333149,0.009170791,0.000977062,0.001368767,0.011518015,0.407,0.857048592,-0.450048592,
1629496,Ezi Magbegor,2196,0.001335189,-0.002097221,-0.000658289,0.003642713,0.004879091,-0.001135598,-0.003142844,-0.005831372,0.163,0.817520398,-0.654520398,
1630150,Chennedy Carter,1902,-0.003049927,-0.008540784,0.000287841,0.005461686,0.003942609,-0.00282773,0.003592152,0.004729529,1.106,0.747117389,0.358882611,
202664,Courtney Vandersloot,1315,0.001822329,0.002375031,-0.003160516,0.009715324,0.004279115,0.001002438,0.00171286,1.12E-05,-0.294,0.712742984,-1.006742984,
1628927,Victoria Vivians,1092,-0.000332309,-0.004840827,0.008102809,-0.006927858,0.001886859,-0.001287725,0.001900722,0.010574433,0.201,0.676631991,-0.475631991,
1642324,Kate Martin,930,0.003697608,-0.003408588,-0.002430957,0.003198888,-0.001744588,-0.00055209,0.006024152,0.00245084,0.045,0.664633921,-0.619633921,
1629498,Jackie Young,2577,0.007690674,-0.002876374,-0.011489154,0.002828286,-0.002899144,-0.001382129,0.007813017,0.001895306,0.46,0.654821313,-0.194821313,
1641654,Stephanie Soares,454,0.003583651,0.000748786,0.00220201,-0.000871612,0.003063336,0.000244033,-0.004895282,-0.0011343,0.184,0.651292716,-0.467292716,
1629484,Megan Gustafson,1189,0.005160686,-0.003546193,0.003400734,0.005740111,-0.007076536,0.000316492,0.007984714,0.000227202,0.682,0.6210511,0.0609489,
202641,Sydney Colson,532,-4.35E-05,-0.002504864,0.001005415,-0.003336247,-0.000381233,0.003289329,0.003737462,-0.001445747,-0.38,0.613044147,-0.993044147,
203026,Tiffany Hayes,1828,-0.002688006,-0.002320521,0.000190555,0.00087801,0.003861754,0.001607055,0.006463586,0.012754194,0.759,0.601737369,0.157262631,
203400,Skylar Diggins,2184,-0.001698248,-0.003790965,0.001459801,0.005241352,0.003120254,0.001147504,-0.000705418,0.007511067,-0.013,0.508074606,-0.521074606,
203827,Natasha Howard,1229,0.00768085,-0.00130215,0.009290605,0.009486547,-0.006780519,-0.002561882,0.000940407,-0.001485293,1.031,0.502663192,0.528336808,
