player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100720,-1.187,-0.648,-1.887,1563,2017,RS,3
100812,-1.604,-0.518,-1.649,702,2017,RS,3
100888,-0.86,2.57,1.095,1281,2017,RS,3
100915,-0.23,0.354,0.403,785,2017,RS,3
100940,3.242,-1.364,1.922,1007,2017,RS,3
100944,1.215,-0.884,-0.594,1498,2017,RS,3
100949,0.038,0.954,-0.77,2034,2017,RS,3
100952,-0.294,1.244,-0.47,1321,2017,RS,3
101023,-0.858,-0.813,-1.663,1463,2017,RS,3
200665,-1.896,0.307,-0.878,1434,2017,RS,3
200671,2.333,-0.239,2.075,1657,2017,RS,3
200673,0.864,-0.283,0.349,1486,2017,RS,3
200676,0.039,-1.982,-0.675,1987,2017,RS,3
201049,0.344,0.423,1.036,1203,2017,RS,3
201050,-0.186,1.558,1.587,403,2017,RS,3
201056,-0.332,-0.792,-0.498,1177,2017,RS,3
201062,-0.867,0.619,-0.197,504,2017,RS,3
201067,0.542,-1.078,-0.832,815,2017,RS,3
201477,-1.214,0.885,-0.09,1479,2017,RS,3
201480,2.643,0.946,1.87,1819,2017,RS,3
201492,-1.555,0.755,-0.81,596,2017,RS,3
201496,1.34,1.677,1.083,1847,2017,RS,3
201502,1.057,0.203,0.776,1033,2017,RS,3
201503,-0.611,-1.309,-0.907,1352,2017,RS,3
201507,0.348,0.951,0.477,1111,2017,RS,3
201516,1.123,-1.727,-0.083,1627,2017,RS,3
201518,2.062,-1.223,1.344,1805,2017,RS,3
201530,-0.029,-0.121,-0.411,726,2017,RS,3
201889,-1.316,-1.644,-1.401,1334,2017,RS,3
201896,-1.455,-2.259,-2.414,1410,2017,RS,3
201904,0.348,0.864,0.544,1857,2017,RS,3
201907,-0.729,-0.58,-1.13,561,2017,RS,3
201911,1.063,-2.354,-0.61,1733,2017,RS,3
201913,0.27,-0.282,0.256,1024,2017,RS,3
201919,0.616,0.155,0.725,1578,2017,RS,3
202250,1.081,0.645,1.626,1476,2017,RS,3
202252,0.708,-1.863,-0.602,1802,2017,RS,3
202259,0.277,-0.152,-0.279,1239,2017,RS,3
202632,2.637,1.31,2.185,1995,2017,RS,3
202638,0.172,0.029,-0.132,1440,2017,RS,3
202640,0.551,-1.088,-0.018,1844,2017,RS,3
202641,-2.45,0.106,-2.29,507,2017,RS,3
202644,-0.928,0.236,-1.017,420,2017,RS,3
202650,-0.9,0.737,0.114,1392,2017,RS,3
202652,-2.109,-0.942,-2.137,1590,2017,RS,3
202656,-0.892,0.237,0.195,877,2017,RS,3
202658,1.109,0.28,0.672,905,2017,RS,3
202662,0.52,1.212,0.609,1201,2017,RS,3
202663,1.674,-0.003,1.592,1530,2017,RS,3
202664,0.163,-1.394,-0.933,1473,2017,RS,3
202670,-0.879,-0.279,-0.677,743,2017,RS,3
203014,3.427,0.725,2.347,1833,2017,RS,3
203015,0.93,0.548,0.715,1023,2017,RS,3
203017,-0.663,-0.617,-0.558,2012,2017,RS,3
203018,1.383,0.594,1.365,693,2017,RS,3
203024,0.671,-0.454,0.175,1178,2017,RS,3
203026,0.314,-0.136,0.634,1610,2017,RS,3
203029,-1.401,-0.078,-2.098,855,2017,RS,3
203041,1.144,-0.554,-0.385,333,2017,RS,3
203389,-0.576,1.764,0.414,858,2017,RS,3
203398,3.06,0.489,2.311,1079,2017,RS,3
203399,1.451,-0.489,0.939,1375,2017,RS,3
203400,0.314,-0.876,0.02,1863,2017,RS,3
203401,0.499,-2.066,-1.236,991,2017,RS,3
203403,-0.059,-0.58,-0.332,1305,2017,RS,3
203405,0.396,-0.427,0.218,1311,2017,RS,3
203406,-1.071,-1.387,-1.464,1695,2017,RS,3
203410,0.226,0.096,-0.024,796,2017,RS,3
203411,-0.33,0.544,-0.04,1006,2017,RS,3
203416,1.134,-1.599,-0.867,1132,2017,RS,3
203437,0.565,-0.554,-0.123,1594,2017,RS,3
203824,0.566,2.352,1.519,1587,2017,RS,3
203825,-1.545,0.121,-0.651,1845,2017,RS,3
203826,1.586,1.401,1.739,1158,2017,RS,3
203827,0.82,2.498,1.579,1222,2017,RS,3
203828,0.741,-0.633,0.536,1732,2017,RS,3
203829,-0.077,-0.948,-0.794,1453,2017,RS,3
203831,0.473,-0.466,0.714,1289,2017,RS,3
203833,3.747,1.438,4.426,2099,2017,RS,3
203835,0.475,-0.637,0.179,785,2017,RS,3
203849,-0.395,-1.321,-1.308,1331,2017,RS,3
203855,0.813,-0.026,0.268,856,2017,RS,3
203859,-0.289,0.524,0.022,622,2017,RS,3
203866,0.57,-0.394,0.445,1303,2017,RS,3
204297,0.056,1.779,1.427,801,2017,RS,3
204317,-1.639,0.561,-0.571,930,2017,RS,3
204319,1.48,-0.116,0.976,2141,2017,RS,3
204321,-0.081,0.111,0.494,509,2017,RS,3
204322,-0.312,-0.46,-0.867,1705,2017,RS,3
204324,-0.553,0.464,-0.232,1432,2017,RS,3
204329,0.55,-0.069,0.208,888,2017,RS,3
204330,0.847,0.743,1.611,1740,2017,RS,3
204333,-0.622,0.912,0.037,966,2017,RS,3
204365,-1.445,-0.757,-1.882,1754,2017,RS,3
1627668,1.442,0.731,1.161,2052,2017,RS,3
1627669,-0.692,0.587,-0.645,915,2017,RS,3
1627670,-1.762,0.361,-0.78,489,2017,RS,3
1627672,-1.43,-0.563,-1.023,643,2017,RS,3
1627673,3.125,1.135,3.076,1029,2017,RS,3
1627674,-1.731,-0.497,-1.136,915,2017,RS,3
1627675,1.716,-1.375,0.564,860,2017,RS,3
1627676,0.053,-0.687,-0.133,1507,2017,RS,3
1627677,-1.59,-0.054,-1.474,940,2017,RS,3
1627678,-0.351,1.535,1.354,1335,2017,RS,3
1627681,-2.487,-0.286,-2.824,886,2017,RS,3
1627689,-0.281,0.13,0.248,329,2017,RS,3
1628242,1.147,0.294,1.655,1025,2017,RS,3
1628244,-2.187,0.878,-1.669,891,2017,RS,3
1628267,-1.431,1.043,-0.921,1053,2017,RS,3
1628269,-1.584,0.712,-0.515,442,2017,RS,3
1628273,-1.196,-0.329,-0.964,1130,2017,RS,3
1628276,0.332,-0.599,0.206,1559,2017,RS,3
1628277,0.807,-1.268,-0.657,1547,2017,RS,3
1628278,-0.59,-0.207,-1.039,801,2017,RS,3
1628279,-0.732,-1.445,-1.022,1540,2017,RS,3
1628282,-0.146,0.704,0.751,521,2017,RS,3
1628283,-1.292,0.969,-0.116,577,2017,RS,3
1628284,-2.65,0.234,-2.289,311,2017,RS,3
1628286,-1.082,0.132,-0.135,959,2017,RS,3
