factor,beta
ots,135.52789827596501
otov,-84.60651756399903
oreb,42.15225696580328
otrans,8.718617709289404
dts,138.17441182047673
dtov,82.11406031454788
dreb,54.523596860906565
dtrans,-16.65348367577665
intercept,-0.051555125488520995
r2,0.783968011945731
