player_id,orapm,drapm,net_rapm,possessions,season,season_type,window
100940,-0.352,1.183,1.103,2289,2025,RS,3
201886,-0.854,1.633,0.269,4533,2025,RS,3
202250,-0.028,-2.589,-0.801,4607,2025,RS,3
202252,-1.513,1.291,0.309,4255,2025,RS,3
202641,-1.165,2.09,0.101,1690,2025,RS,3
202664,-0.323,0.291,-0.311,1657,2025,RS,3
203014,2.78,1.452,3.201,5155,2025,RS,3
203024,-1.558,0.049,-0.995,1706,2025,RS,3
203026,0.581,1.79,1.539,3412,2025,RS,3
203035,0.583,-1.181,1.106,731,2025,RS,3
203398,1.255,0.756,1.584,3493,2025,RS,3
203400,2.992,0.359,2.423,5133,2025,RS,3
203406,-0.361,-2.198,-1.73,686,2025,RS,3
203416,1.386,0.545,0.602,963,2025,RS,3
203822,0.538,1.915,0.98,1517,2025,RS,3
203824,0.355,-0.181,0.799,2876,2025,RS,3
203825,3.351,1.337,3.771,5248,2025,RS,3
203826,1.642,1.087,1.578,5588,2025,RS,3
203827,2.233,0.926,1.896,3540,2025,RS,3
203828,-1.854,-0.823,-1.108,3560,2025,RS,3
203829,-1.001,-3.153,-2.482,1907,2025,RS,3
203833,2.694,0.477,1.748,4345,2025,RS,3
203855,-0.825,-0.013,-1.015,2548,2025,RS,3
203863,-0.574,0.396,0.381,813,2025,RS,3
203866,0.822,1.906,2.113,3016,2025,RS,3
204296,-0.357,-2.59,-1.602,2925,2025,RS,3
204319,0.124,1.228,1.491,5541,2025,RS,3
204322,-1.195,0.777,-0.525,2937,2025,RS,3
204323,2.721,0.004,3.384,1105,2025,RS,3
204324,-0.511,-1.355,-0.962,5636,2025,RS,3
204329,-2.524,0.016,-2.051,2537,2025,RS,3
204330,-0.344,1.464,0.222,2371,2025,RS,3
204333,0.524,-0.767,0.045,5670,2025,RS,3
204335,2.114,-0.919,0.705,1667,2025,RS,3
204365,0.519,2.949,2.087,4115,2025,RS,3
1627668,2.891,3.603,3.733,4618,2025,RS,3
1627669,-2.35,-0.618,-1.426,728,2025,RS,3
1627671,-1.439,-1.589,-0.953,3523,2025,RS,3
1627672,0.435,0.977,0.592,1068,2025,RS,3
