player_id,player_name,poss,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans,net_rapm_full,net_rapm_reconstructed,residual
1628280,Brionna Jones,1963,0.002675294643267989,-0.005116367246955633,0.004831526428461075,0.008014055900275707,0.0062886192463338375,0.00018225998792331666,0.009611287154257298,0.004998668096959591,3.951,2.3421202650970625,1.6088797349029376
203014,Nneka Ogwumike,2177,0.008574516512453556,-0.005802310537546873,-0.004459146875888109,0.012902575545012951,0.01135084219276905,-0.000754682463593781,-0.007783825509250164,0.004364076070487499,3.819,2.535320551882438,1.283679448117562
1629524,Bridget Carleton,2511,0.008767464198172092,-0.00013904580555390567,0.004463222809135914,0.01335076056420803,0.006021370645612478,0.0066653951071202755,-0.004607375245541334,0.0013501389184966683,3.092,2.5586069603661503,0.5333930396338498
1627668,Breanna Stewart,2380,0.008862771093845367,-0.0020092895720154047,-0.00016409183444920927,0.01806613802909851,0.00820764247328043,-0.0014997150283306837,0.0032483635004609823,0.003212271723896265,3.063,2.6047469451425296,0.4582530548574706
203825,Kayla McBride,2697,0.011510971933603287,-0.004919379949569702,-0.004211619962006807,0.013075243681669235,0.0017882896354421973,0.008057369850575924,-0.010283131152391434,-0.0026605825405567884,2.666,2.2535369710441557,0.4124630289558442
1641657,Dorka Juhasz,1560,0.004557404201477766,0.00011427480785641819,0.0026168529875576496,-0.008847913704812527,0.0075265332125127316,0.004450625274330378,-0.0008357319748029113,0.0068405247293412685,2.346,1.835544108158295,0.510455891841705
203398,Brittney Griner,1637,0.006797948386520147,-0.003119779285043478,-0.013349293731153011,0.0018140696920454502,0.007525765802711248,-0.002510152291506529,-0.00863421056419611,-0.003777656937018037,2.252,1.0127159120199996,1.2392840879800002
1630142,Leonie Fiebich,1494,-0.0011105492012575269,-0.0029134792275726795,0.007267938461154699,-0.0002804594987537712,0.01052431482821703,0.0017392662120983005,-0.0056932782754302025,0.01318538747727871,2.232,1.415357174474174,0.8166428255258262
1629497,Marina Mabrey,2440,-0.003212559735402465,-0.0039049084298312664,0.0007856024312786758,0.011073734611272812,0.009985296055674553,0.008610367774963379,-0.0041643898002803326,0.010271599516272545,2.118,1.661725926026176,0.4562740739738238
1642290,Aaliyah Edwards,1872,0.004416191019117832,0.0015859713312238455,0.003478344064205885,-0.0029107427690178156,-7.747689232928678e-05,0.009653028100728989,0.00364171015098691,0.006336676888167858,1.852,1.408996248478175,0.44300375152182503
1629483,Napheesa Collier,2519,0.008784129284322262,-0.002900141291320324,-0.002990806009620428,0.00241750362329185,0.005877309013158083,0.004830843303352594,-0.005537118297070265,0.0031145100947469473,1.843,2.1343212016925293,-0.2913212016925293
100940,Diana Taurasi,2289,0.0029712803661823273,0.00469229044392705,-0.006291952915489674,-0.00104163633659482,0.009925292804837227,0.0004912937874905765,-0.0033605005592107773,-0.0033443535212427378,1.841,0.9640684409313199,0.87693155906868
204296,Rebecca Allen,743,0.007537921890616417,-0.0009596988093107939,0.001528480090200901,0.004632703028619289,0.0013125776313245296,0.0036098300479352474,-0.0014175777323544025,-0.0038746001664549112,1.782,1.621076610360407,0.16092338963959296
1631021,Sika Kone,501,0.005551047157496214,0.003407007548958063,-0.0005376921617425978,0.003009149804711342,0.003766946028918028,0.0029722347389906645,-0.0015417340910062194,-0.001042301650159061,1.728,1.1139371535762244,0.6140628464237756
