player_id,orapm,drapm,net_rapm,possessions,season,season_type
1628895,-1.024,0.358,-0.195,317,2018,RS
1628897,-0.668,-0.311,-0.968,378,2018,RS
1628899,0.106,2.187,1.811,686,2018,RS
1628906,1.704,-0.797,0.153,587,2018,RS
1628909,-2.205,-2.382,-3.636,2358,2018,RS
1628913,-4.173,2.463,-1.65,1106,2018,RS
1628915,-0.791,1.922,0.931,2253,2018,RS
1628917,5.71,-3.947,1.209,1640,2018,RS
1628920,-1.68,-2.87,-3.566,532,2018,RS
1628922,-1.326,1.612,-0.751,2730,2018,RS
1628926,-0.273,0.841,-0.626,567,2018,RS
1628927,-0.784,1.416,1.589,2811,2018,RS
1628931,-1.906,-0.429,-2.707,1976,2018,RS
1628932,2.967,3.211,5.23,2851,2018,RS
