game_id,poss_id,off_team,def_team,points,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5,fga,fgm,fg3a,fg3m,fta,ftm,tov_flag,oreb,oreb_chance,trans_flag,game_date
1022100001,48,1611661313,1611661325,0,204335,1628244,1630119,1630131,1630446,202638,202650,1627676,1628263,1629479,1,0,0,0,1,1,0,1,1,0,2021-05-14
1022100001,49,1611661313,1611661325,0,204335,1628244,1630119,1630131,1630446,202638,202650,1627676,1628263,1629479,0,0,0,0,0,0,1,0,0,0,2021-05-14
1022100001,50,1611661325,1611661313,2,202638,202650,1627676,1628263,1629479,204335,1628244,1630119,1630131,1630446,2,1,0,0,0,0,0,1,1,0,2021-05-14
1022100001,51,1611661313,1611661325,2,204335,1628244,1629477,1630131,1630446,202638,202650,1627676,1628263,1630438,0,0,0,0,2,2,0,0,0,0,2021-05-14
1022100001,52,1611661325,1611661313,0,202638,202650,1627676,1628263,1630438,204335,1628244,1629477,1630131,1630446,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,53,1611661313,1611661325,2,204335,1628244,1629477,1630131,1630446,202638,202650,1627676,1628263,1630438,1,1,0,0,0,0,0,0,0,0,2021-05-14
1022100001,54,1611661325,1611661313,0,202638,202650,1627676,1628263,1630438,204335,1628244,1629477,1630131,1630446,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,55,1611661313,1611661325,0,204335,1628244,1629477,1630131,1630446,202638,202650,1627676,1628263,1630438,1,0,0,0,0,0,0,0,1,1,2021-05-14
1022100001,56,1611661325,1611661313,0,202638,202650,1627676,1628263,1630438,204335,1628244,1629477,1630131,1630446,1,0,0,0,0,0,0,0,1,1,2021-05-14
1022100001,59,1611661313,1611661325,0,204335,1628244,1629477,1630131,1630446,202658,1628909,1628927,1629479,1630437,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,60,1611661325,1611661313,0,1628909,1628927,1629479,1630437,1630438,204335,1628244,1629477,1630131,1630446,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,61,1611661325,1611661313,12,1628909,1628927,1629479,1630437,1630438,204335,1628244,1629477,1630131,1630446,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,62,1611661313,1611661325,0,204335,1628244,1629477,1630131,1630446,1628909,1628927,1629479,1630437,1630438,2,0,0,0,0,0,0,1,2,0,2021-05-14
1022100001,63,1611661325,1611661313,2,1628909,1628927,1629479,1630437,1630438,204335,1628244,1629477,1630131,1630446,1,1,0,0,0,0,0,0,0,0,2021-05-14
1022100001,64,1611661313,1611661325,0,204335,1628244,1629477,1630131,1630446,1628909,1628927,1629479,1630437,1630438,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,65,1611661325,1611661313,0,1628909,1628927,1629479,1630437,1630438,204335,1628244,1629477,1630131,1630446,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,66,1611661313,1611661325,3,204335,1628244,1629477,1630131,1630446,202658,1628909,1628927,1629479,1630438,1,1,0,0,0,0,0,0,0,0,2021-05-14
1022100001,67,1611661325,1611661313,0,1628909,1628927,1629479,1630437,1630438,204335,1628244,1629477,1630131,1630446,0,0,0,0,0,0,1,0,0,0,2021-05-14
1022100001,68,1611661313,1611661325,0,204335,1628244,1629477,1630131,1630446,202638,1628909,1628927,1629479,1630438,1,0,0,0,0,0,0,0,1,0,2021-05-14
1022100001,69,1611661325,1611661313,3,202638,1628909,1628927,1629479,1630438,204335,1628244,1629477,1630131,1630446,1,1,0,0,0,0,0,0,0,1,2021-05-14
